\'em            ax m sp
weren't         w er en t sp
westchester     w eh s ch eh s t axr sp
wet             w eh t sp
what            hh w aa t sp
what're         hh w aa t axr sp
what's          hh w aa t s sp
whatever        hh w ax t eh v axr sp
wheat           hh w iy t sp
wheel           hh w iy l sp
wheels          hh w iy l z sp
when            hh w eh n sp
where           hh w ae r sp
where're        hh w ae r axr sp
wherever        hh w ae r eh v axr sp
whether         w eh dh axr sp
which           hh w ih ch sp
while           hh w ay l sp
whining         hh w ay n ix ng sp
whip            hh w ih p sp
whiplashes      hh w ih p l ae sh ix z sp
whipped         hh w ih p t sp
whipsawed       hh w ih p s ao d sp
whirling        hh w er l ix ng sp
whiskey         hh w ih s k iy sp
whisper         hh w ih s p axr sp
whispered       hh w ih s p axr d sp
whistling       hh w ih s el ix ng sp
white           hh w ay t sp
whizzing        hh w ih z ix ng sp
who             hh uw sp
whoever         hh uw eh v axr sp
whole           hh ow l sp
wholesome       hh ow l s ah m sp
whoppers        hh w aa p axr z sp
whorls          hh w er l z sp
whosoever       hh uw s ow eh v axr sp
why             hh w ay sp
wick            w ih k sp
wide            w ay d sp
widely          w ay d l iy sp
wider           w ay d axr sp
width           w ih d th sp
widths          w ih d th s sp
wieners         w iy n axr z sp
wife            w ay f sp
wild            w ay l d sp
wildly          w ay l d l iy sp
will            w ih l sp
willow          w ih l ow sp
willowy         w ih l ow iy sp
win             w ih n sp
window          w ih n d ow sp
windowpanes     w ih n d ow p ey n z sp
winds           w ih n d z sp
windshield      w ih n d sh iy l d sp
wine            w ay n sp
wingman         w ih ng m ax n sp
winking         w ih ng k ix ng sp
winter          w ih n t axr sp
wipe            w ay p sp
wire            w ay axr sp
wisdom          w ih z d ax m sp
wise            w ay z sp
wish            w ih sh sp
wishful         w ih sh f uh l sp
with            w ih dh sp
withdraw        w ih dh d r ao sp
within          w ih dh ih n sp
without         w ih dh aw t sp
witnesses       w ih t n ix s ix z sp
witnessing      w ih t n ix s ix ng sp
wobble          w aa b el sp
woe             w ow sp
woman           w uh m ax n sp
women           w ih m ax n sp
won't           w ow n t sp
wondered        w ah n d axr d sp
wonderful       w ah n d axr f uh l sp
wonderfully     w ah n d axr f uh l iy sp
wood            w uh d sp
wooded          w uh d ix d sp
wooden          w uh d en sp
wool            w uh l sp
woolly          w uh l l iy sp
word            w er d sp
words           w er d z sp
wore            w ao r sp
work            w er k sp
workable        w er k ax b el sp
worked          w er k t sp
workers         w er k axr z sp
working         w er k ix ng sp
works           w er k s sp
world           w er l d sp
world's         w er l d z sp
worm            w er m sp
worn            w ao r n sp
worried         w er iy d sp
worry           w er iy sp
worse           w er s sp
worship         w er sh ix p sp
worth           w er th sp
would           w uh d sp
would've        w uh d ax v sp
wound           w aw n d sp
wound           w uw n d sp
wounds          w uw n d z sp
wrap            r ae p sp
wraps           r ae p s sp
wrinkled        r ih ng k el d sp
writers         r ay t axr z sp
writes          r ay t s sp
wrong           r ao ng sp
wrote           r ow t sp
x               eh k s sp
y'all           y ao l sp
ya              y ax sp
yacht           y aa t sp
yard            y aa r d sp
yards           y aa r d z sp
yarn            y aa r n sp
yeah            y eh ax sp
year            y ih r sp
year's          y ih r z sp
yearly          y ih r l iy sp
years           y ih r z sp
yelled          y eh l d sp
yellow          y eh l ow sp
yes             y eh s sp
yesterday       y eh s t axr d ey sp
yet             y eh t sp
yielded         y iy l d ix d sp
yogurt          y ow g er t sp
york            y ao r k sp
you             y uw sp
you'd           y uw d sp
you'll          y uw l sp
you're          y uh r sp
you've          y uw v sp
young           y ah ng sp
youngsters      y ah ng s t axr z sp
your            y uh r sp
yours           y uh r z sp
yourself        y uh r s eh l f sp
youth           y uw th sp
zagged          z ae g d sp
zeal            z iy l sp
zealous         z eh l ax s sp
zebras          z iy b r ax z sp
zig             z ih g sp
zinnias         z ih n iy ax z sp
zippers         z ih p axr z sp
zircons         z er k aa n z sp
zombie          z aa m b iy sp
zones           z ow n z sp
zoo             z uw sp
zoologist       z ow aa l ax jh ix s t sp
zoos            z uw z sp
