"'em" ax m
SILENCE sil
a  ax
unmagnified  ah n m ae g n ih f ay d
unnecessarily  ah n eh s ix s eh r ax l iy
unoccupied  ah n aa k y uw p ay d
unpleasant  ah n p l eh z en t
unquestionably  ah n k w eh s ch ix n ax b l iy
unrealistic  ah n r iy l ih s t ih k
unreasoning  ah n r iy z en ix ng
unseen  ah n s iy n
unspecified  ah n s p eh s ix f ay d
unstuck  ah n s t ah k
unsuspecting  ah n s ah s p eh k t ix ng
until  ax n t ih l
untimely  ah n t ay m l iy
unusual  ah n y uw zh uw el
unusually  ah n y uw zh uw ax l iy
unwaveringly  ah n w ey v axr ix ng
up  ah p
upbeat  ah p b iy t
upbringing  ah p b r ih ng ix ng
updating  ah p d ey t ix ng
upgrade  ah p g r ey d
uplift  ah p l ih f t
upmanship  ah p m ax n sh ih p
upper  ah p axr
ups  ah p s
upside  ah p s ay d
upstairs  ah p s t ae r z
upward  ah p w axr d
urchins  er ch ix n z
uremia  y uh r iy m iy ax
urethane  y uh r ax th ey n
urge  er jh
urged  er jh d
urgent  er jh ix n t
urges  er jh ix z
urging  er jh ix ng
us  ah s
usages  y uw s ih jh ix z
use  y uw s
use  y uw z
used  y uw z d
useful  y uw s f el
useless  y uw s l ax s
uses  y uw z ix z
using  y uw z ix ng
usual  y uw zh uw el
usually  y uw zh uw ax l iy
utilizing  y uw t ax l ay z ix ng
utmost  ah t m ow s t
utopianism  y uw t ow p iy en ih z em
utopians  y uw t ow p iy en z
utter  ah t axr
vacant  v ey k ix n t
vacation  v ey k ey sh ix n
vacuum  v ae k y uw m
vagabond  v ae g ax b aa n d
vaguely  v ey g l iy
vain  v ey n
valiant  v ae l y ax n t
validated  v ae l ax d ey t ix d
validity  v ax l ih d ix t iy
valley  v ae l iy
valleys  v ae l iy z
valuables  v ae l y uh b el z
value  v ae l y uw
values  v ae l y uw z
vanilla  v ax n ih l ax
vanished  v ae n ih sh t
vanishing  v ae n ih sh ix ng
vanquished  v ae n k w ih sh t
vapor  v ey p axr
vaporization  v ey p axr ax z ey sh ix n
variable  v ae r iy ax b el
variety  v axr ay ax t iy
various  v ae r iy ax s
vascular  v ae s k y uh l axr
vases  v ey s ix z
veer  v ih r
veered  v ih r d
vegetable  v eh jh t ax b el
vegetables  v eh jh t ax b el z
vehicles  v iy hh ih k el z
velocities  v ax l aa s ix t iy z
velocity  v ax l aa s ix t iy
vending  v eh n d ix ng
ventures  v eh n ch axr z
verb  v er b
verbal  v er b el
verbalize  v er b ax l ay z
vermouth  v axr m uw th
verse  v er s
verses  v er s ix z
vertebral  v er t ax b r el
vertigo  v er t ih g ow
very  v eh r iy
veterans'  v eh t axr ax n z
veterinarian  v eh t axr ax n eh r iy ax n
vices  v ay s ix z
victim  v ih k t ax m
victims  v ih k t ax m z
victor  v ih k t axr
vietnamese  v iy eh t n aa m iy z
view  v y uw
viewpoint  v y uw p oy n t
views  v y uw z
vigilance  v ih jh el ax n s
vigorous  v ih g er ax s
village  v ih l ih jh
villains  v ih l ix n z
violates  v ay ax l ey t s
violence  v ay el ax n s
violent  v ay l ax n t
violently  v ay l ax n t l iy
violin  v ay ax l ih n
virtually  v er ch uw ax l iy
virtue  v er ch uw
virtues  v er ch uw z
virtuous  v er ch uw ix s
virus  v ay r ix s
visage  v ih z ih jh
viscosity  v ih s k aa s ix t iy
visibly  v ih z ix b l iy
vision  v ih zh ix n
visit  v ih z ix t
visiting  v ih z ix t ix ng
visitor  v ih z ix t axr
visitors  v ih z ix t axr z
visual  v ih zh uw el
visually  v ih zh uw ax l iy
vital  v ay t el
vitality  v ay t ae l ix t iy
vitamin  v ay t ax m ax n
vitamin-and-iron  v ay t ax m ax n ae n d ay axr n
vivid  v ih v ix d
vividly  v ih v ix d l iy
vocabulary  v ow k ae b y uh l eh r iy
vocational  v ow k ey sh ix n el
vodka  v aa d k ax
voice  v oy s
voltages  v ow l t ix jh ix z
volume  v aa l y uw m
volumes  v aa l y uw m z
volunteered  v aa l ix n t ih r d
volunteers  v aa l ix n t ih r z
votes  v ow t s
voyage  v oy ih jh
wadded  w aa d ix d
wage  w ey jh
wagon  w ae g ix n
wagons  w ae g ix n z
wait  w ey t
waited  w ey t ix d
waiting  w ey t ix ng
wake  w ey k
waking  w ey k ix ng
wandered  w aa n d axr d
wanna  w ah n ax
was  w ax z
wasn't  w ax z en t
wasp  w aa s p
waste  w ey s t
watch  w aa ch
watched  w aa ch t
watches  w aa ch ix z
wave  w ey v
wave-setting  w ey v s eh t ix ng
waves  w ey v z
wax  w ae k s
waxing  w ae k s ix ng
waxy  w ae k s iy
way  w ey
ways  w ey z
we  w iy
we'd  w iy d
we'll  w ih l
we're  w ih r
we've  w iy v
weakens  w iy k ix n z
weakness  w iy k n ix s
wealth  w eh l th
wealthy  w eh l th iy
weapon  w eh p ax n
wear  w ae r
weary  w ih r iy
weather  w eh dh axr
weatherproof  w eh dh axr p r uw f
weatherstrip  w eh dh axr s t r ih p
weave  w iy v
web  w eh b
webbed  w eh b d
wedded  w eh d ix d
wedding  w eh d ix ng
week  w iy k
weekday  w iy k d ey
weekend  w iy k eh n d
weeks  w iy k s
weeping  w iy p ix ng
welcome  w eh l k ax m
welcomed  w eh l k ax m d
welfare  w eh l f ae r
well  w eh l
well-kept  w eh l k eh p t
well-made  w eh l m ey d
went  w eh n t
were  w er
weren't  w er en t
westchester  w eh s ch eh s t axr
wet  w eh t
what  hh w aa t
what're  hh w aa t axr
what's  hh w aa t s
what's-his-name  hh w aa t s hh ih z n ey m
whatever  hh w ax t eh v axr
whatsoever  hh w aa t s ow eh v axr
wheat  hh w iy t
wheel  hh w iy l
wheels  hh w iy l z
when  hh w eh n
whenever  hh w eh n eh v axr
where  hh w ae r
where're  hh w ae r axr
wherever  hh w ae r eh v axr
whether  w eh dh axr
which  hh w ih ch
while  hh w ay l
whimsical  hh w ih m z ih k el
whining  hh w ay n ix ng
whip  hh w ih p
whiplashes  hh w ih p l ae sh ix z
whipped  hh w ih p t
whirling  hh w er l ix ng
whiskey  hh w ih s k iy
whisper  hh w ih s p axr
whispered  hh w ih s p axr d
whistling  hh w ih s el ix ng
white  hh w ay t
whizzing  hh w ih z ix ng
who  hh uw
whoever  hh uw eh v axr
whole  hh ow l
wholesome  hh ow l s ah m
whoppers  hh w aa p axr z
whorls  hh w er l z
whosoever  hh uw s ow eh v axr
why  hh w ay
wick  w ih k
wide  w ay d
widely  w ay d l iy
wider  w ay d axr
widow  w ih d ow
width  w ih d th
widths  w ih d th s
wieners  w iy n axr z
wife  w ay f
wild  w ay l d
wildly  w ay l d l iy
will  w ih l
willow  w ih l ow
willowy  w ih l ow iy
win  w ih n
window  w ih n d ow
windowpanes  w ih n d ow p ey n z
windows  w ih n d ow z
winds  w ih n d z
windshield  w ih n d sh iy l d
wine  w ay n
wingman  w ih ng m ax n
winking  w ih ng k ix ng
winter  w ih n t axr
wipe  w ay p
wire  w ay axr
wire-haired  w ay axr hh ae r d
wired  w ay axr d
wisdom  w ih z d ax m
wise  w ay z
wised  w ay z d
wish  w ih sh
wishful  w ih sh f uh l
witches  w ih ch ix z
with  w ih dh
within  w ih dh ih n
without  w ih dh aw t
witnesses  w ih t n ix s ix z
witnessing  w ih t n ix s ix ng
wobble  w aa b el
wobbled  w aa b el d
woe  w ow
woman  w uh m ax n
women  w ih m ax n
won't  w ow n t
wondered  w ah n d axr d
wonderful  w ah n d axr f uh l
wonderfully  w ah n d axr f uh l iy
wonders  w ah n d axr z
wood  w uh d
wooded  w uh d ix d
wooden  w uh d en
woodland  w uh d l ae n d
woods  w uh d z
wool  w uh l
woolen  w uh l ax n
woolly  w uh l l iy
wops  w aa p s
word  w er d
words  w er d z
work  w er k
workable  w er k ax b el
worked  w er k t
worker  w er k axr
workers  w er k axr z
working  w er k ix ng
works  w er k s
world  w er l d
world's  w er l d z
worm  w er m
worried  w er iy d
worries  w er iy z
worry  w er iy
worse  w er s
worship  w er sh ix p
worth  w er th
would  w uh d
would've  w uh d ax v
wound  w aw n d
wound  w uw n d
wounds  w uw n d z
wrap  r ae p
wraps  r ae p s
wrinkled  r ih ng k el d
wrist  r ih s t
writers  r ay t axr z
writes  r ay t s
written  r ih t en
wrote  r ow t
x  eh k s
x-ray  eh k s r ey
ya  y ax
yacht  y aa t
yard  y aa r d
yards  y aa r d z
yarn  y aa r n
yeah  y eh ax
year  y ih r
year's  y ih r z
yearly  y ih r l iy
years  y ih r z
yell  y eh l
yelled  y eh l d
yellow  y eh l ow
yes  y eh s
yesterday  y eh s t axr d ey
yet  y eh t
yield  y iy l d
yielded  y iy l d ix d
yogurt  y ow g er t
you  y uw
you'd  y uw d
you'll  y uw l
you're  y uh r
you've  y uw v
young  y ah ng
youngsters  y ah ng s t axr z
your  y uh r
yours  y uh r z
yourself  y uh r s eh l f
youth  y uw th
zagged  z ae g d
zeal  z iy l
zealous  z eh l ax s
zebras  z iy b r ax z
zig  z ih g
zig-zagged  z ih g z ae g d
zinnias  z ih n iy ax z
zip  z ih p
zippers  z ih p axr z
zircons  z er k aa n z
zombie  z aa m b iy
zones  z ow n z
zoning  z ow n ix ng
zoo  z uw
zoologist  z ow aa l ax jh ix s t
zoos  z uw z
